country,2020_mc,2018_mc,2016_mc,2014_mc,2012_mc,2010_mc,2008_mc,2006_mc,2004_mc,2002_mc,2000_mc,1998_mc,1996_mc,1994_mc,1992_mc,1988_mc,1988_gdp,1990_gdp,1992_gdp,1994_gdp,1996_gdp,1998_gdp,2000_gdp,2002_gdp,2004_gdp,2006_gdp,2008_gdp,2010_gdp,2012_gdp,2014_gdp,2016_gdp,2018_gdp,2020_gdp,2020_mp,2018_mp,2016_mp,2014_mp,2012_mp,2010_mp,2008_mp,2006_mp,2004_mp,2002_mp,2000_mp,1998_mp,1996_mp,1994_mp,1992_mp,1988_mp,HDI Rank,1990_hdi,1992_hdi,1994_hdi,1996_hdi,1998_hdi,2000_hdi,2002_hdi,2004_hdi,2006_hdi,2008_hdi,2010_hdi,2012_hdi,2014_hdi,2016_hdi,2018_hdi,2019_hdi
10,Australia,45,3.0,29.0,3.0,35.0,3.0,46.0,2.0,50.0,2.0,58.0,1.0,41.0,1.0,27.0,14.0,235658469150.175,310781069642.17,324884257479.043,322213766862.677,400302731411.229,398899138574.239,415222633925.76794,394648911678.52704,612490396927.0171,746054207846.6609,1053995523724.26,1146138465603.81,1546151783872.96,1467483705131.74,1208846993739.99,1432881172002.17,1330900925056.98,0.041821561338289966,0.009771986970684038,0.029927760577915376,0.010238907849829351,0.03664921465968586,0.011627906976744186,0.048218029350104816,0.007936507936507936,0.05411255411255411,0.008547008547008548,0.06290672451193059,0.004878048780487805,0.04892601431980907,0.00546448087431694,0.032219570405727926,0.016489988221436984,8,0.871,0.873,0.879,0.890,0.896,0.903,0.907,0.911,0.909,0.926,0.930,0.937,0.933,0.939,0.943,0.944
11,Austria,7,14.0,1.0,17.0,0.0,16.0,3.0,23.0,7.0,17.0,3.0,17.0,3.0,9.0,23.0,11.0,133339397080.129,166463386179.354,195078126721.763,203535242741.838,237250948791.26602,218259904401.95602,196799778883.36105,213377771503.858,300904221504.842,335998557270.104,430294287388.31104,391892746544.69,409425234155.2629,441996131736.508,395568644341.03796,454872626780.005,430947393757.511,0.006505576208178439,0.04560260586319218,0.0010319917440660474,0.05802047781569966,0.0,0.062015503875968984,0.0031446540880503146,0.09126984126984126,0.007575757575757577,0.07264957264957267,0.0032537960954446853,0.08292682926829269,0.0035799522673031032,0.049180327868852465,0.027446300715990454,0.012956419316843343,18,0.803,0.813,0.821,0.829,0.837,0.847,0.847,0.858,0.870,0.893,0.904,0.908,0.913,0.917,0.921,0.922
12,Azerbaijan,7,0.0,18.0,0.0,10.0,0.0,6.0,0.0,5.0,0.0,3.0,0.0,1.0,,,,,,446305555.55555594,1193312101.91083,3176333837.03359,4446368570.6901,5272798390.70183,6235856819.58445,8680370408.05943,20982986344.3027,48852482960.0779,52909294791.9262,69683935845.2139,75244294275.1498,37867518957.1975,47112941176.4706,42607176470.5882,0.006505576208178439,0.0,0.018575851393188854,0.0,0.010471204188481676,0.0,0.006289308176100629,0.0,0.005411255411255411,0.0,0.0032537960954446853,0.0,0.0011933174224343676,,,,88,..,..,..,0.605,0.619,0.635,0.651,0.667,0.701,0.716,0.726,0.730,0.740,0.751,0.754,0.756
13,Bahamas,2,,2.0,,1.0,,2.0,,2.0,,3.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,0.0018587360594795536,,0.0020639834881320948,,0.0010471204188481676,,0.0020964360587002093,,0.0021645021645021645,,0.0032537960954446853,,0.0011933174224343676,,0.0011933174224343676,0.0,58,..,..,..,..,..,0.797,0.800,0.800,0.804,0.804,0.805,0.807,0.805,0.810,0.812,0.814
14,Bahrain,1,,2.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,3702393617.02128,4229787234.04255,4751063829.78723,5567553457.44681,6101861436.17021,6183776595.7446785,9062898936.17021,9593510638.29787,13150159574.4681,18504760638.2979,25710904255.3191,25713271276.5957,30749308510.6383,33387712765.9574,32234973404.2553,37652500000.0,,0.0009293680297397768,,0.0020639834881320948,,0.0010471204188481676,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,42,0.749,0.760,0.772,0.782,0.787,0.795,0.795,0.796,0.797,0.800,0.800,0.808,0.820,0.853,0.852,0.852
15,Bangladesh,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,26579005760.3486,31598341233.559,31708874594.1645,33768660882.793,46438484107.5795,49984559471.3656,53369787318.6245,54724081490.5102,65108544250.0425,71819083683.7403,91631278239.3237,115279077465.226,133355749482.47801,172885454931.453,221415188000.475,274038973437.275,324239176765.053,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,133,0.394,0.410,0.426,0.443,0.461,0.478,0.492,0.506,0.521,0.531,0.557,0.575,0.579,0.606,0.625,0.632
16,Belarus,7,3.0,9.0,6.0,10.0,3.0,14.0,1.0,13.0,1.0,17.0,2.0,15.0,2.0,,,,21650000000.0,,17793000000.0,14756846153.8462,15264369565.2174,12738912133.8912,14594249022.8922,23144351851.8519,36954312354.3124,60763483146.0674,57222490768.7143,65685102554.8759,78813839984.3506,47722657820.6675,60031262269.3365,60258239055.5829,0.006505576208178439,0.009771986970684038,0.009287925696594429,0.020477815699658702,0.010471204188481676,0.011627906976744186,0.014675052410901468,0.003968253968253968,0.01406926406926407,0.004273504273504274,0.01843817787418655,0.00975609756097561,0.017899761336515514,0.01092896174863388,,,53,..,..,..,0.664,0.674,0.686,0.699,0.717,0.744,0.777,0.795,0.806,0.814,0.815,0.823,0.823
17,Belgium,7,1.0,6.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,5.0,1.0,6.0,0.0,3.0,2.0,162299103675.261,205331747947.851,234781652446.675,244884129491.198,279201433224.75604,258528339631.029,236204532891.1,257157820440.429,368537000248.324,407918078032.86896,515223524241.98,480951629493.03296,496181260258.3,534678075827.361,475739588764.759,543410654016.6021,515332499627.861,0.006505576208178439,0.0032573289902280127,0.006191950464396285,0.0,0.003141361256544503,0.0,0.0020964360587002093,0.0,0.003246753246753247,0.0,0.005422993492407809,0.004878048780487805,0.0071599045346062064,0.0,0.0035799522673031032,0.002355712603062426,14,0.813,0.832,0.852,0.864,0.873,0.880,0.886,0.893,0.904,0.906,0.910,0.913,0.918,0.924,0.930,0.931
18,Belize,0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,0.0,320093360.27245,412086445.492176,518559700.714435,581269536.370645,641660005.32063,689140012.18537,832072464.652775,925197971.5082552,1051386576.48391,1210603726.50843,1351338648.58457,1377177082.6384,1522897506.07849,1667335060.96064,1789304087.7856102,1915899786.9640696,1763696118.9519,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,0.0,110,0.610,0.621,0.623,0.624,0.628,0.640,0.651,0.665,0.672,0.679,0.695,0.701,0.705,0.717,0.714,0.716
19,Benin,0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,1620246187.15171,1959965243.762689,1695315305.7030802,1598075944.85875,2361116448.13533,2455092688.1478,3519991440.3235,4194342689.2626796,6190270377.07555,7034111316.29919,9787734516.7416,9535345011.48797,11141358105.9853,13284527850.2632,11821065852.1271,14250987026.0533,15651545208.8783,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,158,0.364,0.375,0.386,0.394,0.403,0.416,0.438,0.453,0.467,0.482,0.494,0.510,0.527,0.533,0.541,0.545
20,Bermuda,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415100032.0,1592400000.0,1679900000.0,1867160100.0,2695390000.0,3130748000.0,3480219000.0,3937228000.0,4484703000.0,6144000000.0,6980000000.0,6634526000.0,6378188000.0,6413988000.0,6899911000.0,7224329000.0,,0.0009293680297397768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
21,Bhutan,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,272241005.23145896,287658184.00398904,240215763.888889,258985597.70481402,303435517.922664,363452787.203102,424464089.897641,520849551.53260595,682523857.01677,874989895.601121,1227808790.6733,1547991317.81183,1781281281.57912,1907090813.4590602,2158972129.00307,2446866404.93058,2409262838.21987,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,129,..,..,..,..,..,..,..,..,0.526,0.551,0.574,0.597,0.618,0.637,0.649,0.654
22,Bolivia,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,4597615562.66594,4867582620.20708,5643893347.00679,5981244886.917,7396966657.470541,8497545598.08352,8397912509.09679,7905485216.17852,8773451738.911291,11451869164.7112,16674324634.2373,19649631308.1648,27084497481.9103,32996188017.3661,33941126193.9219,40287647930.5355,36688861202.6049,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,107,0.551,0.566,0.581,0.595,0.610,0.627,0.637,0.641,0.649,0.658,0.667,0.675,0.690,0.702,0.714,0.718
23,Bosnia and Herzegovina,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1255802469.1358,2786045321.63743,4116699437.4041,5505887894.48893,6651106833.49374,10596205714.2857,12864610993.5219,19112739664.4697,17176781336.7644,17226849297.07,18558343508.3435,16913330693.9653,20183510561.2553,19788422248.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,73,..,..,..,..,..,0.679,0.689,0.701,0.712,0.726,0.721,0.748,0.758,0.772,0.777,0.780
24,Botswana,1,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,2644536804.1124396,3790567051.8677797,4146513722.3301897,4259330999.0315104,4847752842.78924,4790458837.170779,5788329609.15755,5438857106.73536,8957467706.5354,10137883299.3156,10945070441.9283,12786654498.3514,14380004175.1194,16250781586.6579,15646354089.458,18663265549.0196,15781732825.8934,0.0009293680297397768,,0.0,,0.0010471204188481676,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,100,0.573,0.577,0.570,0.575,0.580,0.581,0.579,0.592,0.615,0.641,0.663,0.689,0.711,0.720,0.730,0.735
25,Brazil,20,0.0,19.0,0.0,17.0,0.0,17.0,0.0,10.0,0.0,12.0,0.0,15.0,0.0,3.0,6.0,330397381998.489,461951782000.0,400599250000.0,558111997497.263,850426432991.7421,863723411632.917,655420645476.906,507962487700.024,669316654017.094,1107640289615.23,1695824565983.2,2208871646202.82,2465188674415.03,2455993625159.37,1795700168991.49,1916947014067.55,1444733258971.65,0.01858736059479554,0.0,0.0196078431372549,0.0,0.01780104712041885,0.0,0.01781970649895178,0.0,0.010822510822510822,0.0,0.013015184381778741,0.0,0.017899761336515514,0.0,0.0035799522673031032,0.00706713780918728,84,0.613,0.627,0.642,0.658,0.670,0.685,0.699,0.698,0.702,0.717,0.727,0.735,0.756,0.758,0.762,0.765
