country,2020_mc,2018_mc,2016_mc,2014_mc,2012_mc,2010_mc,2008_mc,2006_mc,2004_mc,2002_mc,2000_mc,1998_mc,1996_mc,1994_mc,1992_mc,1988_mc,1988_gdp,1990_gdp,1992_gdp,1994_gdp,1996_gdp,1998_gdp,2000_gdp,2002_gdp,2004_gdp,2006_gdp,2008_gdp,2010_gdp,2012_gdp,2014_gdp,2016_gdp,2018_gdp,2020_gdp,2020_mp,2018_mp,2016_mp,2014_mp,2012_mp,2010_mp,2008_mp,2006_mp,2004_mp,2002_mp,2000_mp,1998_mp,1996_mp,1994_mp,1992_mp,1988_mp,HDI Rank,1990_hdi,1992_hdi,1994_hdi,1996_hdi,1998_hdi,2000_hdi,2002_hdi,2004_hdi,2006_hdi,2008_hdi,2010_hdi,2012_hdi,2014_hdi,2016_hdi,2018_hdi,2019_hdi
36,Colombia,5,0.0,8.0,,8.0,0.0,3.0,,2.0,,1.0,,0.0,,1.0,1.0,39212550050.4223,47844090709.9908,58418985443.3172,81703500846.0364,97160109277.8087,98443739941.1664,99886577330.7271,97963003804.7851,117081522349.67699,161618581266.316,242186950900.775,286563105192.456,370921320483.841,381112119657.445,282825009887.458,334198214706.209,271346896626.418,0.004646840148698885,0.0,0.008255933952528379,,0.008376963350785341,0.0,0.0031446540880503146,,0.0021645021645021645,,0.0010845986984815619,,0.0,,0.0011933174224343676,0.001177856301531213,83,0.603,0.617,0.631,0.647,0.662,0.666,0.671,0.684,0.698,0.718,0.729,0.739,0.753,0.760,0.764,0.767
37,Comoros,0,,0.0,,0.0,,0.0,,0.0,,,,,,,,356500026.691673,429622147.743446,457388578.924144,319189200.353123,396053797.633321,370106776.043329,351136568.441921,425964697.41866404,633706149.25026,698431827.740958,915659192.8251119,907978731.702123,1015843491.24635,1149587659.74502,1012835492.51575,1178530633.81547,1219690024.5028698,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,156,..,..,..,..,..,0.465,0.475,0.483,0.495,0.508,0.521,0.538,0.543,0.547,0.552,0.554
38,Cook Islands,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,
39,Costa Rica,0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,1.0,,0.0,1.0,4614629898.40348,5711687786.75989,8564044017.26908,10486784804.7995,11678424512.0601,13684255950.4646,15013629665.1416,16578820687.2881,18610594846.2083,22715540324.3032,30801744881.0001,37658614803.2775,47231651864.8284,52016408950.8936,58847016044.7363,62335931464.4979,61520669890.4037,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0021691973969631237,,0.0011933174224343676,,0.0,0.001177856301531213,62,0.665,0.680,0.692,0.701,0.713,0.721,0.728,0.735,0.745,0.761,0.765,0.783,0.796,0.801,0.808,0.810
40,Croatia,8,0.0,10.0,1.0,6.0,3.0,5.0,3.0,5.0,4.0,2.0,0.0,2.0,0.0,3.0,,,,,,23846613059.0861,25562732258.151,21633759450.7898,26813968850.5192,41587470546.7946,50423077102.0764,70234425974.0453,59918313669.1671,56580819623.8529,57639588805.5871,51601147665.8089,61375222347.0256,55966581780.1688,0.007434944237918215,0.0,0.010319917440660476,0.0034129692832764505,0.006282722513089005,0.011627906976744186,0.005241090146750524,0.011904761904761904,0.005411255411255411,0.017094017094017096,0.0021691973969631237,0.0,0.002386634844868735,0.0,0.0035799522673031032,,43,0.677,0.672,0.688,0.715,0.738,0.757,0.774,0.786,0.798,0.813,0.815,0.825,0.835,0.841,0.848,0.851
41,Cuba,15,,11.0,,15.0,,30.0,,27.0,,29.0,,25.0,,31.0,,27458999472.2955,28645436569.1489,22085858243.2432,28448326756.7568,25017368700.0,25736331200.0,30565400000.0,33590500000.0,38203000000.0,52742800000.0,60806300000.0,64328000000.0,73141000000.0,80656000000.0,91370000000.0,100050000000.0,,0.013940520446096654,,0.011351909184726523,,0.015706806282722512,,0.031446540880503145,,0.02922077922077922,,0.031453362255965296,,0.029832935560859187,,0.036992840095465385,,70,0.680,0.667,0.656,0.669,0.677,0.691,0.698,0.722,0.756,0.783,0.781,0.769,0.767,0.773,0.781,0.783
42,Cyprus,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4278792597.23965,5591130217.66965,6912150456.323339,7425703928.571429,10011918444.1656,10248617647.0588,9985844486.33365,11420227884.6154,17320552500.0,20072786350.5206,27844698989.3072,25732432719.0773,24978513426.6992,23156850006.6427,20953442550.3653,25309818138.8758,23804340376.9275,0.0,0.0,0.0,0.0,0.0010471204188481676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.735,0.742,0.784,0.791,0.803,0.804,0.819,0.831,0.842,0.858,0.856,0.859,0.862,0.873,0.885,0.887
43,Czech Republic,11,7.0,10.0,8.0,11.0,6.0,7.0,4.0,9.0,3.0,8.0,3.0,11.0,0.0,,,,40728950704.6176,34805013229.572,47850203856.1751,67387788632.9812,66807429711.410995,61828166496.0941,82196001050.7474,119814434353.575,156264095664.643,236816485762.988,209069940963.177,208857719320.649,209358834156.32892,196272068576.338,248950103352.137,245349489988.26,0.010223048327137545,0.02280130293159609,0.010319917440660476,0.027303754266211604,0.011518324607329844,0.02325581395348837,0.007337526205450734,0.015873015873015872,0.00974025974025974,0.01282051282051282,0.008676789587852495,0.014634146341463415,0.013126491646778043,0.0,,,,,,,,,,,,,,,,,,,
44,Côte d'Ivoire,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009293680297397768,,,,,,,,,,,,,,,,162,0.404,0.405,0.407,0.412,0.414,0.421,0.426,0.433,0.443,0.455,0.468,0.482,0.492,0.513,0.534,0.538
45,Democratic Republic of the Congo,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,175,0.369,0.361,0.349,0.351,0.349,0.349,0.358,0.374,0.389,0.412,0.435,0.442,0.460,0.471,0.478,0.480
46,Denmark,11,0.0,15.0,0.0,9.0,0.0,7.0,0.0,8.0,0.0,6.0,1.0,6.0,0.0,6.0,4.0,115552846616.65305,138247285815.855,152915654478.885,156162386724.523,187632346387.98398,176991934992.837,164158739097.62302,178635163717.43106,251373002954.382,282884947702.966,353361038818.383,321995279401.502,327148943812.13696,352993631617.70795,313115929314.339,356841216410.068,356084867685.639,0.010223048327137545,0.0,0.015479876160990712,0.0,0.009424083769633508,0.0,0.007337526205450734,0.0,0.008658008658008658,0.0,0.006507592190889371,0.004878048780487805,0.0071599045346062064,0.0,0.0071599045346062064,0.004711425206124852,10,0.806,0.815,0.831,0.844,0.856,0.870,0.890,0.905,0.912,0.917,0.917,0.931,0.935,0.935,0.939,0.940
47,Djibouti,0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,1.0,395794538.630775,452328087.28287596,478058304.87111795,491689220.744875,494004647.73437,514267869.300758,551230861.856505,591122039.601398,666072101.7775049,768873684.032838,999105339.2677287,1128611700.3618,1353632941.5207,2214681573.56933,2603554906.59464,3012820409.63313,3384404260.07202,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,0.001177856301531213,166,..,..,..,0.349,0.355,0.360,0.375,0.393,0.413,0.432,0.454,0.474,0.492,0.505,0.518,0.524
48,Dominica,0,,,0.0,,,,,,,0.0,,0.0,,,,171106184.074074,201429629.62963,234059259.259259,264374074.07407403,292285185.185185,322411111.111111,333470370.37037003,333196296.296296,367200000.0,390251851.851852,458188888.88888896,493825925.92592597,485996296.296296,520207407.4074071,576229629.62963,551074074.074074,469870370.37037003,0.0,,,0.0,,,,,,,0.0,,0.0,,,,94,..,..,..,..,..,0.703,0.707,0.714,0.721,0.730,0.740,0.739,0.741,0.740,0.738,0.742
49,Dominican Republic,5,,1.0,,2.0,,2.0,,1.0,,0.0,,0.0,,0.0,0.0,5374314928.42536,7073675544.808471,11605382504.0,14644711384.8202,18241691857.3544,21672231760.6491,24305717541.6371,27137508656.8522,22322395368.0274,37879869897.8979,48122547177.1881,53860175555.9961,60681537195.7996,67179914026.9623,75704720189.5607,85555378042.8196,78844702329.0785,0.004646840148698885,,0.0010319917440660474,,0.0020942408376963357,,0.0020964360587002093,,0.0010822510822510825,,0.0,,0.0,,0.0,0.0,88,0.599,0.612,0.624,0.636,0.648,0.659,0.668,0.672,0.688,0.698,0.706,0.714,0.730,0.743,0.751,0.756
50,Ecuador,3,0.0,0.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,0.0,13051886552.3377,15239278100.3502,18094238119.0595,22708673336.6683,25226393196.5983,27981896948.4742,18327764882.4412,28548945000.0,36591661000.0,46802044000.0,61762635000.0,69555367000.0,87924544000.0,101726331000.0,99937696000.0,107562008000.0,98808010000.0,0.0027881040892193307,0.0,0.0,,0.0,,0.0010482180293501047,,0.0,,0.0,,0.0011933174224343676,,0.0,0.0,86,0.648,0.654,0.663,0.668,0.675,0.675,0.684,0.693,0.701,0.717,0.726,0.751,0.756,0.758,0.762,0.759
51,Egypt,6,,3.0,,4.0,,2.0,,5.0,,0.0,,0.0,,0.0,0.0,34980124929.0176,42978914311.3504,41855986519.4235,51897983392.6453,67629716981.1321,84828807556.0803,99838543960.0763,85146067415.7303,78782467532.4675,107426086956.52199,162818181818.182,218983666061.70602,279116666666.667,305595408895.265,332441717791.411,249712999437.254,363069245165.315,0.005576208178438661,,0.0030959752321981426,,0.0041884816753926715,,0.0020964360587002093,,0.005411255411255411,,0.0,,0.0,,0.0,0.0,116,0.548,0.559,0.571,0.585,0.594,0.613,0.622,0.631,0.645,0.660,0.668,0.677,0.685,0.696,0.701,0.707
52,El Salvador,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,4189880000.0,4817542204.02673,5813399300.0,7679384000.0,9586327800.0,10936669900.0,11784927700.0,12664190300.0,13724810900.0,15999886400.0,17986890000.0,18447920000.0,21386150000.0,22593460000.0,24191430000.0,26020850000.0,24638720000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,124,0.536,0.552,0.571,0.588,0.606,0.615,0.627,0.639,0.653,0.655,0.668,0.669,0.668,0.671,0.670,0.673
53,Eritrea,0,0.0,0.0,,0.0,,0.0,,1.0,,,,,,,,,,477101651.648376,531688311.688312,693535954.1900669,745526154.93283,706370815.584416,729321366.6518612,1109054005.43971,1211161879.6748,1380188800.0,1589515447.15447,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0010822510822510825,,,,,,,,180,..,..,..,..,..,..,..,..,0.428,0.426,0.436,0.441,0.457,0.456,0.456,0.459
54,Estonia,2,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,,,,,,4786018988.16491,5674080542.88575,5686579747.53524,7367975887.72723,12145911801.2422,17022870405.2189,24341678628.9732,19523477325.6235,23020466784.6112,26598657880.5486,24056487770.898,30474612057.4484,30650285471.7215,0.0018587360594795536,0.0,0.0010319917440660474,0.0,0.0020942408376963357,0.0038759689922480615,0.0020964360587002093,0.011904761904761904,0.003246753246753247,0.01282051282051282,0.0032537960954446853,0.0,0.0,0.0,0.002386634844868735,,29,0.735,0.722,0.720,0.740,0.766,0.787,0.805,0.821,0.839,0.848,0.852,0.865,0.871,0.881,0.889,0.892
55,Eswatini,0,,,,,,,,,,,,,,,,692016714.317132,1114703088.1614,1284766234.2216,1419293454.99606,1602760100.4814699,1576904292.4588,1738100853.05052,1432228172.7020001,2770082822.46579,3291353806.39445,3294093364.16017,4438778547.23269,4886658806.33374,4422304974.7989,3816018484.52711,4665424249.061561,3962493092.9930797,0.0,,,,,,,,,,,,,,,,138,0.541,0.539,0.527,0.515,0.490,0.465,0.442,0.445,0.469,0.487,0.510,0.539,0.568,0.588,0.605,0.611
56,Ethiopia,4,,8.0,,7.0,0.0,7.0,0.0,7.0,,8.0,,3.0,,3.0,,10908935748.7923,12175166763.285,10492993077.6093,6927950564.55657,8547939730.62374,7818224905.55071,8242392103.68061,7850809498.16803,10131187261.4421,15280861834.6024,27066912635.2228,29933790334.3418,43310721414.0829,55612228233.5179,74296618481.0882,84269348327.3454,107645054311.87599,0.0037174721189591076,,0.008255933952528379,,0.007329842931937174,0.0,0.007337526205450734,0.0,0.007575757575757577,,0.008676789587852495,,0.0035799522673031032,,0.0035799522673031032,,173,..,..,..,..,..,0.292,0.315,0.334,0.371,0.403,0.421,0.438,0.455,0.467,0.478,0.485
57,Fiji,2,,1.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1109976927.9172199,1337024782.22702,1532401862.94079,1825763267.53637,2128696643.6257398,1653160861.68714,1678239218.26553,1833279985.367411,2708078476.63012,3076305452.8650603,3523185919.55826,3140508835.9485,3972012570.5346704,4856963229.83999,4930204229.72263,5581393120.62853,4376014755.57615,0.0018587360594795536,,0.0010319917440660474,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,93,0.662,0.672,0.680,0.688,0.687,0.695,0.700,0.709,0.708,0.712,0.715,0.722,0.733,0.738,0.742,0.743
58,Finland,2,6.0,1.0,5.0,3.0,5.0,4.0,9.0,2.0,7.0,4.0,12.0,4.0,6.0,12.0,11.0,109058990760.483,141438345513.917,112532519246.084,103299943084.804,132129174216.93,134038718291.055,125706651925.55699,139738377564.465,197116960516.51398,216907539831.89105,284553976856.599,249181190476.369,258304834621.605,274497230802.958,240607907010.383,275580448365.235,269751312854.475,0.0018587360594795536,0.01954397394136808,0.0010319917440660474,0.017064846416382253,0.003141361256544503,0.01937984496124031,0.00419287211740042,0.03571428571428571,0.0021645021645021645,0.02991452991452992,0.0043383947939262466,0.05853658536585366,0.00477326968973747,0.032786885245901634,0.014319809069212413,0.012956419316843343,11,0.790,0.801,0.815,0.830,0.846,0.864,0.874,0.904,0.912,0.917,0.916,0.921,0.928,0.932,0.937,0.938
59,France,33,15.0,42.0,15.0,35.0,11.0,41.0,9.0,33.0,11.0,38.0,8.0,37.0,5.0,38.0,18.0,1018847043277.17,1269179616913.63,1401465923172.24,1393982750472.59,1605675086549.56,1503108739159.44,1362248940482.77,1494286655373.61,2115742488204.62,2318593651988.46,2918382891460.38,2642609548930.36,2683825225092.63,2852165760630.27,2471285607081.72,2789593979064.58,2630317731455.26,0.030669144981412638,0.0488599348534202,0.043343653250774,0.05119453924914676,0.03664921465968586,0.04263565891472868,0.0429769392033543,0.03571428571428571,0.03571428571428571,0.047008547008547015,0.04121475054229935,0.03902439024390244,0.0441527446300716,0.0273224043715847,0.04534606205250597,0.02120141342756184,26,0.786,0.804,0.825,0.837,0.845,0.849,0.852,0.858,0.871,0.875,0.879,0.885,0.893,0.894,0.898,0.901
60,Gabon,0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,3834503378.3549705,5952293765.84468,5592390848.52647,4190819314.0295796,5694040336.82571,4483417119.83928,5080483463.99928,5335451307.54323,7770219479.72648,10327598800.6713,15571349775.7848,14372591916.4792,17170465294.0332,18203968001.8908,14023890620.3384,16862282413.8778,15593181270.9135,0.0,,0.0,,0.0010471204188481676,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,119,0.613,0.617,0.622,0.626,0.630,0.621,0.626,0.626,0.632,0.639,0.652,0.666,0.682,0.690,0.697,0.703
61,Gambia,0,,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,172,0.349,0.358,0.366,0.377,0.388,0.403,0.415,0.431,0.440,0.453,0.459,0.461,0.468,0.475,0.487,0.496
62,Georgia,8,0.0,7.0,0.0,6.0,0.0,7.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,,,,7753540783.62452,,2514070771.80273,3095047603.8083,3613541516.765,3057475335.1884604,3395728013.8452396,5125365191.98664,7745394293.41721,12795076469.0099,12243505582.6741,16488403076.3641,17627003454.7205,15141758566.7808,17599700090.762,15891688903.1843,0.007434944237918215,0.0,0.007223942208462331,0.0,0.006282722513089005,0.0,0.007337526205450734,0.0,0.004329004329004329,0.0,0.006507592190889371,0.0,0.002386634844868735,0.0,,,61,..,..,..,..,..,0.690,0.699,0.715,0.731,0.742,0.751,0.767,0.783,0.792,0.805,0.812
63,Germany,37,31.0,42.0,19.0,44.0,30.0,41.0,29.0,49.0,36.0,56.0,29.0,65.0,24.0,108.0,175.0,1401233225303.49,1771671206875.68,2131571696931.75,2205074123177.05,2497244606186.64,2238990774702.68,1943145384190.16,2068624129493.69,2809187981127.39,2992196713084.93,3730027830672.33,3396354075663.73,3527344944139.83,3883920155292.26,3467498002104.33,3975347237442.99,3846413928653.71,0.03438661710037175,0.1009771986970684,0.043343653250774,0.06484641638225255,0.04607329842931937,0.11627906976744184,0.0429769392033543,0.11507936507936507,0.05303030303030303,0.15384615384615385,0.060737527114967466,0.14146341463414633,0.07756563245823389,0.13114754098360654,0.1288782816229117,0.2061248527679623,6,0.808,0.821,0.837,0.846,0.860,0.876,0.890,0.907,0.918,0.924,0.927,0.934,0.937,0.941,0.946,0.947
64,Ghana,1,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,5197840979.13416,5889174825.4869995,6413901601.83066,5444560669.45607,6934984709.480121,7480968858.131491,4983024408.14828,6166330136.2948,8881368538.07671,20440893017.1566,28678701891.0957,32197272797.2028,41270954737.2459,51717482623.9132,54499451834.1061,65315955122.8077,72354428864.9032,0.0009293680297397768,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0011933174224343676,0.0,138,0.465,0.474,0.480,0.484,0.487,0.494,0.499,0.509,0.529,0.553,0.565,0.577,0.590,0.598,0.606,0.611
65,Great Britain,65,5.0,67.0,5.0,65.0,1.0,51.0,1.0,30.0,2.0,28.0,1.0,15.0,2.0,20.0,24.0,910122732123.7992,1093169389204.55,1179659529659.53,1140489745944.29,1415390015600.62,1651618085458.76,1658193372673.63,1780082434052.76,2412045038447.46,2706014719411.22,2921431985294.12,2481579504997.81,2704017284861.91,3065521109394.94,2693247611031.81,2857316524862.61,2707743777173.91,0.0604089219330855,0.016286644951140062,0.06914344685242517,0.017064846416382253,0.06806282722513089,0.0038759689922480615,0.05345911949685535,0.003968253968253968,0.032467532467532464,0.008547008547008548,0.030368763557483733,0.004878048780487805,0.017899761336515514,0.01092896174863388,0.02386634844868735,0.02826855123674912,13,0.781,0.807,0.833,0.851,0.862,0.874,0.881,0.892,0.896,0.903,0.912,0.904,0.925,0.924,0.928,0.932
66,Greece,4,0.0,6.0,0.0,2.0,0.0,3.0,0.0,16.0,0.0,13.0,0.0,8.0,0.0,2.0,1.0,76261277924.5736,97891092003.4394,116224672863.783,116601801966.29199,145861612400.906,144428172489.335,130133845586.88,153830946734.425,240521261484.976,273317736795.885,354460802695.181,296835346570.223,242053529231.1461,235295470067.1761,192732474229.21802,212146107548.996,189410106620.01602,0.0037174721189591076,0.0,0.006191950464396285,0.0,0.0020942408376963357,0.0,0.0031446540880503146,0.0,0.017316017316017316,0.0,0.014099783080260303,0.0,0.00954653937947494,0.0,0.002386634844868735,0.001177856301531213,32,0.761,0.771,0.774,0.780,0.795,0.804,0.826,0.843,0.859,0.865,0.865,0.865,0.875,0.874,0.881,0.888
67,Grenada,1,,1.0,,1.0,,0.0,,0.0,,0.0,,,,,0.0,236357523.703704,278098762.962963,310160444.444444,325111814.814815,366911444.444444,445903592.59259295,520044370.37037003,540336925.925926,599118592.592593,698700666.666667,825976037.037037,771013259.259259,799882259.259259,911497407.407407,1061631222.22222,1168696296.2963,1089203703.7037,0.0009293680297397768,,0.0010319917440660474,,0.0010471204188481676,,0.0,,0.0,,0.0,,,,,0.0,74,..,..,..,..,..,..,0.721,0.731,0.745,0.753,0.754,0.757,0.766,0.771,0.773,0.779
68,Guam,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,3394000000.0,3869000000.0,4238000000.0,4658000000.0,4949000000.0,5265000000.0,5610000000.0,5901000000.0,6051000000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,
69,Guatemala,0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,7841602824.42748,7650125217.35253,10440842165.3193,12983235568.2292,15674835615.3139,19395491992.9939,19288827158.9035,20444205991.025,23577286226.6407,29744368110.9094,38503862830.6878,40676432028.5934,49593961141.7484,57852399963.7878,66053725049.0138,73208583758.9105,77604632170.5853,0.0,,0.0,,0.0010471204188481676,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,127,0.481,0.493,0.504,0.518,0.534,0.549,0.563,0.571,0.583,0.597,0.606,0.618,0.648,0.653,0.657,0.663
70,Guinea,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,2384295982.3843303,2666750685.8495,3284620543.22982,3383092827.5866,3868968301.91851,3588375476.76248,2995361140.6321697,2950198648.95191,3635458132.65317,4220019242.7518296,6964179193.8437605,6853467857.6196,7638045254.43072,8778473614.54971,8595955581.21266,11857030336.5274,15681050917.1588,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,178,0.282,0.291,0.301,0.310,0.326,0.340,0.356,0.372,0.392,0.408,0.416,0.439,0.452,0.465,0.473,0.477
71,Guinea-Bissau,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,164458120.314176,243961995.509785,226313443.749086,235620043.500927,270419779.418107,206457544.49770305,371095510.04776096,417806667.07798,532062927.382438,592365688.05204,868154708.520179,849878424.225986,989271229.637162,1054915645.19654,1179004941.2290401,1504630120.99275,1431758242.90375,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,175,..,..,..,..,..,..,..,..,0.411,0.424,0.436,0.448,0.459,0.468,0.472,0.480
72,Guyana,0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,413799990.0,396582263.291139,373573141.486811,540874934.201012,705406001.424501,717530683.169567,712667896.727512,726131434.715338,787814379.183843,2379818382.99903,3025189399.2617197,3432913353.27805,4063090016.16068,4127664335.8269296,4482697336.56174,4787635821.46116,5471256594.72422,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,122,0.548,0.559,0.582,0.598,0.607,0.616,0.622,0.625,0.630,0.638,0.649,0.662,0.671,0.676,0.680,0.682
73,Haiti,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,2613926800.0,3096289800.0,2257121668.19352,2167564194.7342,2907514522.92503,3723909226.8678093,6868666119.644879,6106867933.51625,6005401729.71229,7408787819.1302,10386485527.8494,11661585823.2282,13708931889.7884,14790765759.5274,13723267960.8434,15965670198.4548,13417997065.1099,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,170,0.414,0.418,0.415,0.428,0.435,0.442,0.446,0.450,0.458,0.466,0.471,0.482,0.492,0.500,0.508,0.510
74,Honduras,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,5902717091.54747,4923009551.51561,4943700431.07368,4642280682.14252,5215028986.48649,6366340265.87888,7186650135.43927,7858235333.4834,8869311410.95131,10917481688.4711,13881701033.6546,15839344591.9842,18528601901.323997,19756494434.7031,21717622071.3816,24067778953.842003,23827840809.7014,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,132,0.519,0.523,0.534,0.545,0.556,0.566,0.575,0.586,0.599,0.603,0.610,0.612,0.616,0.626,0.633,0.634
75,"Hong Kong, China",6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,,0.0,0.0,59707404560.5944,76928290841.8701,104272278634.731,135812069768.646,159717233621.659,168886163221.567,171668164082.555,166349228737.386,169099768875.193,193536265094.36398,219279678430.16397,228637697575.04,262629441493.476,291459356985.337,320837638328.846,361691522612.745,346585881503.635,0.005576208178438661,0.0,0.0,0.0,0.0010471204188481676,0.0,0.0,0.0,0.0010822510822510825,0.0,0.0,,0.0011933174224343676,,0.0,0.0,4,0.784,0.794,0.807,0.814,0.820,0.830,0.845,0.865,0.886,0.899,0.904,0.914,0.926,0.936,0.946,0.949
76,Hungary,20,1.0,15.0,0.0,18.0,0.0,10.0,0.0,17.0,0.0,17.0,0.0,21.0,0.0,30.0,23.0,,,38730585922.2189,43166678735.2183,46658755151.6017,48706787306.2574,47218405892.4258,67608919144.3684,103960017914.05801,115577256523.599,158136326477.965,131916516051.985,128475498380.379,140765018880.633,128470534117.95401,160431092908.646,155012927629.087,0.01858736059479554,0.0032573289902280127,0.015479876160990712,0.0,0.018848167539267012,0.0,0.010482180293501049,0.0,0.0183982683982684,0.0,0.01843817787418655,0.0,0.025059665871121718,0.0,0.035799522673031034,0.0270906949352179,40,0.708,0.711,0.737,0.750,0.758,0.772,0.788,0.799,0.815,0.822,0.831,0.831,0.838,0.844,0.850,0.854
77,Iceland,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6106635769.74938,6468736286.927071,7080981668.5463295,6389460285.59828,7426081278.195491,8503693098.622709,9025660361.75842,9318395054.85934,13825302535.7699,17465318552.2941,18074622987.0185,13751161917.7398,14751508133.5443,17867662177.8911,20793168030.9524,26267063757.5495,21718075725.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0010482180293501047,0.0,0.0,0.0,0.0010845986984815619,0.0,0.0,0.0,0.0,0.0,4,0.807,0.823,0.829,0.836,0.855,0.867,0.881,0.891,0.899,0.899,0.898,0.915,0.931,0.941,0.946,0.949
78,India,7,0.0,2.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,296588994812.05896,320979026419.633,288208430383.964,327275583539.55896,392897054348.07104,421351477504.743,468394937262.37,514937948870.08,709148514804.659,940259888792.141,1198895582137.51,1675615335600.56,1827637859136.23,2039127446299.3,2294797980509.51,2701111782774.57,2622983732006.45,0.006505576208178439,0.0,0.0020639834881320948,0.0,0.006282722513089005,0.0,0.0031446540880503146,0.0,0.0010822510822510825,0.0,0.0010845986984815619,0.0,0.0011933174224343676,,0.0,0.0,131,0.429,0.440,0.453,0.468,0.481,0.495,0.506,0.527,0.546,0.563,0.579,0.597,0.616,0.630,0.642,0.645
79,Indonesia,5,,3.0,,3.0,,6.0,,4.0,,6.0,,4.0,,5.0,1.0,84300174477.2008,106140727357.032,128026966579.964,176892143931.505,227369679374.97305,95445547872.715,165021012077.81,195660611165.183,256836875295.452,364570514304.85,510228634992.258,755094160363.0709,917869910105.749,890814755233.225,931877364177.7421,1042271531011.99,1058423838345.14,0.004646840148698885,,0.0030959752321981426,,0.003141361256544503,,0.006289308176100629,,0.004329004329004329,,0.006507592190889371,,0.00477326968973747,,0.005966587112171838,0.001177856301531213,107,0.523,0.534,0.550,0.573,0.586,0.603,0.615,0.628,0.642,0.647,0.665,0.681,0.690,0.703,0.712,0.718
